point,x,y,z
profile1 0319,488.781,432.877,-2.115
profile1 0320,488.75,432.628,-2.11
profile1 0321,488.646,432.372,-2.116
profile1 0322,488.607,432.164,-2.125
profile1 0323,488.621,431.951,-2.126
profile1 0324,488.567,431.673,-2.122
profile1 0325,488.47,431.361,-2.105
profile1 0326,488.477,431.192,-2.104
profile1 0327,488.506,430.962,-2.09
profile1 0328,488.432,430.7,-2.104
profile1 0329,488.367,430.435,-2.102
profile1 0330,488.384,430.117,-2.102
profile1 0331,488.366,429.887,-2.085
profile1 0332,488.31,429.608,-2.087
profile1 0333,488.334,429.367,-2.101
profile1 0334,488.391,429.105,-2.09
profile1 0335,488.365,428.868,-2.1
profile1 0336,488.341,428.597,-2.095
profile1 0337,488.351,428.331,-2.09
profile1 0338,488.295,428.002,-2.095
profile1 0339,488.233,427.69,-2.086
profile1 0340,488.27,427.463,-2.056
profile1 0341,488.289,427.332,-2.042
profile1 0342,488.189,427.124,-2.045
profile1 0343,488.135,426.906,-2.051
profile1 0344,488.19,426.655,-2.04
profile1 0345,488.205,426.411,-2.051
profile1 0346,488.186,426.149,-2.028
profile1 0347,488.238,425.853,-2.032
profile1 0348,488.286,425.648,-2.033
profile1 0349,488.263,425.412,-2.043
profile1 0350,488.258,425.187,-2.044
profile1 0351,488.284,424.945,-2.046
profile1 0352,488.249,424.663,-2.063
profile1 0353,488.23,424.366,-2.066
profile1 0354,488.271,424.076,-2.075
profile1 0355,488.293,423.799,-2.069
profile1 0356,488.27,423.524,-2.067
profile1 0357,488.317,423.338,-2.083
profile1 0358,488.384,423.119,-2.077
profile1 0359,488.396,422.823,-2.088
profile1 0360,488.403,422.556,-2.088
profile1 0361,488.425,422.282,-2.097
profile1 0362,488.439,422.032,-2.091
profile1 0363,488.43,421.782,-2.104
profile1 0364,488.459,421.579,-2.127
profile1 0365,488.483,421.308,-2.119
profile1 0366,488.425,421.028,-2.108
profile1 0367,488.42,420.858,-2.116
profile1 0368,488.493,420.648,-2.132
profile1 0369,488.508,420.428,-2.145
profile1 0370,488.452,420.16,-2.138
profile1 0371,488.483,419.883,-2.14
profile1 0372,488.531,419.623,-2.139
profile1 0373,488.489,419.361,-2.143
profile1 0374,488.452,419.129,-2.15
profile1 0375,488.484,418.865,-2.154
profile1 0376,488.476,418.613,-2.169
profile1 0377,488.473,418.381,-2.151
profile1 0378,488.531,418.194,-2.145
profile1 0379,488.508,417.89,-2.14
profile1 0380,488.414,417.652,-2.141
profile1 0381,488.414,417.5,-2.145
profile1 0382,488.469,417.303,-2.148
profile1 0383,488.367,416.998,-2.15
profile1 0384,488.331,416.83,-2.14
profile1 0385,488.395,416.685,-2.155
profile1 0386,488.462,416.505,-2.157
profile1 0387,488.356,416.224,-2.162
profile1 0388,488.256,415.947,-2.153
profile1 0389,488.301,415.726,-2.174
profile1 0390,488.273,415.491,-2.177
profile1 0391,488.215,415.213,-2.178
profile1 0392,488.249,414.959,-2.186
profile1 0393,488.274,414.695,-2.196
profile1 0394,488.21,414.408,-2.212
profile1 0395,488.164,414.109,-2.211
profile1 0396,488.112,413.762,-2.202
profile1 0397,488.034,413.635,-2.179
profile1 0398,488.03,413.368,-2.202
profile1 0399,488.041,413.179,-2.209
profile1 0400,487.882,412.794,-2.191
profile1 0401,487.86,412.674,-2.205
profile1 0402,487.929,412.5,-2.214
profile1 0403,487.95,412.317,-2.221
profile1 0404,487.864,412.063,-2.231
profile1 0405,487.817,411.887,-2.229
profile1 0406,487.87,411.67,-2.239
profile1 0407,487.84,411.453,-2.248
profile1 0408,487.747,411.248,-2.24
profile1 0409,487.723,411.041,-2.26
profile1 0410,487.688,410.768,-2.253
profile1 0411,487.6,410.515,-2.258
profile1 0412,487.532,410.254,-2.249
profile1 0413,487.568,410.028,-2.259
profile1 0414,487.559,409.817,-2.275
profile1 0415,487.526,409.523,-2.269
profile1 0416,487.524,409.287,-2.291
profile1 0417,487.511,409.051,-2.306
profile1 0418,487.462,408.779,-2.316
profile1 0419,487.43,408.555,-2.296
profile1 0420,487.429,408.388,-2.29
profile1 0421,487.452,408.155,-2.294
profile1 0422,487.446,408.203,-2.328
profile1 0423,487.369,408.055,-2.292
