,event_id,norm_overrun_location,true_overrun_location,overrun_probability,number_of_events,number_of_waves,avg_overrun_period,avg_wave_period,norm_overrun_period,overrun_time,overrun_datetime,run_id,run_datetime,location,location_name
27,8,0.06755725533635348,38.33270625136916,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,208.45652207558877,2014-08-07 09:18:28,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
28,9,0.019726247332477076,38.13855821498685,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,207.7592920782041,2014-08-07 09:18:27,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
29,10,0.007629983477267732,34.63643230630957,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,209.5244917539177,2014-08-07 09:18:29,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
30,11,0.06755725533635348,38.33270625136916,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,208.45652207558877,2014-08-07 09:18:28,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
31,12,0.007629983477267732,34.63643230630957,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,209.5244917539177,2014-08-07 09:18:29,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
32,13,0.002075924792513506,30.95094152757068,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,245.27437464626655,2014-08-07 09:19:05,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
33,14,0.015783392947588237,32.064885183234246,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,261.8039833248002,2014-08-07 09:19:21,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
34,15,0.006004430309719089,33.468349092434465,0.4411764705882353,15,34.0,20.0,8.823529411764707,2.2666666666666666,280.82330233332925,2014-08-07 09:19:40,3,2014-08-07 09:15:00,OneMileBeach,One Mile Beach
35,1,0.013892499210641285,32.602511852712624,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,18.527274880212943,2014-08-07 09:20:18,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
36,2,0.013892499210641285,32.602511852712624,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,18.527274880212943,2014-08-07 09:20:18,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
37,3,0.30741145667659353,40.964158091303155,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,84.69134256666273,2014-08-07 09:21:24,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
38,4,0.30741145667659353,40.964158091303155,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,84.69134256666273,2014-08-07 09:21:24,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
39,5,0.2564478435245683,42.048874257524304,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,177.05425354867828,2014-08-07 09:22:57,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
40,6,0.029793786957315493,37.08375033769351,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,197.46453605561595,2014-08-07 09:23:17,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
41,7,0.029793786957315493,37.08375033769351,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,197.46453605561595,2014-08-07 09:23:17,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
42,8,0.13575561382039092,38.05743976060469,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,212.75403407064374,2014-08-07 09:23:32,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
43,9,0.011432905818980155,38.671701595474666,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,227.2824640752282,2014-08-07 09:23:47,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
44,10,0.011432905818980155,38.671701595474666,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,227.2824640752282,2014-08-07 09:23:47,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
45,11,0.005477604051712381,35.499212434650296,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,258.5299733718795,2014-08-07 09:24:18,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
46,12,0.024342393769090975,39.86498657712607,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,275.95433159193755,2014-08-07 09:24:35,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
47,13,0.024342393769090975,39.86498657712607,0.3939393939393939,13,33.0,23.076923076923077,9.090909090909092,2.5384615384615383,275.95433159193755,2014-08-07 09:24:35,4,2014-08-07 09:20:00,OneMileBeach,One Mile Beach
48,1,0.30478941601494736,38.555590343669046,0.36666666666666664,11,30.0,27.272727272727273,10.0,2.7272727272727275,9.851677467965382,2014-08-07 09:25:09,5,2014-08-07 09:25:00,OneMileBeach,One Mile Beach
